Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Eggs,Aquatic,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar ,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous
0.1555,20.4466,0.1555,18.5247,0.7665,5.7491,0.7165,11.0426,1.0887,1.6442,3.7994,0.9387,0.5221,0.2333,0.5444,0.0223,0.3277,29.5617,0.0,3.7216,0.0389
0.2987,20.4911,0.0166,20.7234,1.4186,3.924,1.3274,11.2992,3.5589999999999997,0.2821,1.7007,1.0204,0.0747,0.8794,0.3484,0.0166,0.0581,29.5006,0.0249,2.4224,0.6139
0.1724,12.6375,0.0411,24.2979,0.312,0.9115,0.6241,5.1897,5.4114,0.7719,0.4434,8.0145,0.0411,2.0939,0.4681,0.0,0.1314,37.3542,0.0411,1.0347,0.0082
0.0404,9.2262,0.0162,26.1017,0.4286,2.4419999999999997,1.3019,4.1077,1.4797,0.7601,3.5417,2.1590000000000003,0.0,3.0403,0.2183,0.0,0.0,40.7779,0.0081,4.2371,0.1132
0.0517,15.0004,0.0443,23.269000000000002,0.4581,1.6922,1.2266,6.9608,5.4607,0.3769,1.2636,2.8671,0.0961,0.9754,0.7389,0.0,1.2414,35.0107,0.0148,2.9705,0.2808
0.0323,13.835999999999999,0.0054,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0.0,0.2745,36.1694,0.0269,3.1267,0.1399
0.2579,28.7765,0.0688,13.735,1.6073,3.6271,0.5845,13.9886,9.1968,0.2836,0.5802,1.0314,0.0774,0.7005,0.6188,0.0,0.3696,21.2257,0.0215,3.1501,0.0988
0.1203,17.3405,0.0468,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0.0,0.0334,32.6495,0.0267,1.5035,0.3074
0.4784,25.6914,0.0224,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0.0,0.0374,24.3086,0.0,0.9643,0.3438
0.0,14.4317,0.2626,26.42,1.2388,1.9124,1.2274,7.6383,2.8201,0.5537,0.1313,2.4034,0.177,0.9248,0.3311,0.0057,1.3701,35.5712,0.0057,2.5746,0.0
0.4758,28.108,0.0673,13.8546,1.6724,2.5181,0.7256,14.5754,8.8375,0.4325,0.7353,1.0909,0.17300000000000001,1.9607,0.7785,0.0048,0.2979,21.8944,0.0,1.4657,0.3316
0.3458,25.1828,0.6868,12.9249,2.0553,2.8804,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0.0099,0.5534,24.8172,0.084,1.5909,0.2915
